Jurisdiction,State,lat,lon,Outcome,CDBG ($),Adjustment ($),Net homes added
Anniston,AL,33.673469,-85.810891,Exempt — recent disaster,519183,0,-329.0
Auburn,AL,32.607806,-85.494746,Exempt — recent disaster,702799,0,1485.0
Bessemer,AL,33.370858,-86.971522,Exempt — recent disaster,638197,0,215.0
Birmingham,AL,33.527174,-86.797036,Exempt — recent disaster,5733710,0,446.0
Decatur,AL,34.572995,-86.989901,Exempt — recent disaster,424836,0,-187.0
Dothan,AL,31.233698,-85.406823,Exempt — recent disaster,537195,0,163.0
Florence,AL,34.82981,-87.662202,Exempt — recent disaster,321351,0,373.0
Gadsden,AL,34.006597,-86.016078,Exempt — recent disaster,900286,0,135.0
Huntsville,AL,34.69772,-86.67667,Exempt — recent disaster,1400900,0,1796.0
Jefferson County,AL,33.553444,-86.896536,Exempt — recent disaster,2114163,0,230.0
Mobile,AL,30.668246,-88.107853,Exempt — recent disaster,2336237,0,7636.0
Mobile County,AL,30.684572,-88.196568,Exempt — recent disaster,1608060,0,-6946.0
Montgomery,AL,32.348503,-86.267307,Exempt — recent disaster,1766448,0,423.0
Opelika,AL,32.660739,-85.37889,Exempt — recent disaster,305551,0,631.0
Shelby County,AL,33.266893,-86.661007,Exempt — recent disaster,878552,0,1036.0
Tuscaloosa,AL,33.234404,-87.5283,Exempt — recent disaster,877797,0,925.0
Anchorage,AK,61.17425,-149.284329,Exempt — other screens,1899998,0,631.0
Avondale,AZ,33.313236,-112.328928,Exempt — other screens,695530,0,718.0
Casa Grande,AZ,32.906895,-111.763503,Exempt — other screens,459381,0,855.0
Chandler,AZ,33.282765,-111.851819,Gains funding,1486156,158758,1356.0
Douglas,AZ,31.399274,-109.541292,Exempt — other screens,183562,0,-102.0
Flagstaff,AZ,35.185212,-111.620698,Gains funding,656638,61817,528.0
Gilbert,AZ,33.310345,-111.743121,Gains funding,1112194,626719,5353.0
Glendale,AZ,33.533111,-112.189901,Gains funding,2376397,221161,1889.0
Goodyear,AZ,33.254031,-112.366472,Exempt — other screens,415122,0,2718.0
Marana,AZ,32.465939,-111.135401,Exempt — other screens,207209,0,1064.0
Maricopa County,AZ,33.345176,-112.49893,Loses funding,2940912,-294091,3071.0
Mesa,AZ,33.400626,-111.716487,Loses funding,3675410,-367541,1863.0
Peoria,AZ,33.786186,-112.308042,Exempt — other screens,972829,0,493.0
Phoenix,AZ,33.572154,-112.090132,Loses funding,14389727,-1438973,10198.0
Pima County,AZ,32.128038,-111.783657,Exempt — other screens,2593824,0,1510.0
Pinal County,AZ,32.918521,-111.366339,Exempt — other screens,1825148,0,4443.0
Prescott,AZ,34.592241,-112.446733,Gains funding,275024,0,-124.0
Prescott Valley,AZ,34.59793,-112.318497,Loses funding,292411,-29241,725.0
Scottsdale,AZ,33.684272,-111.861448,Exempt — other screens,1059148,0,746.0
Sierra Vista,AZ,31.56541,-110.314508,Exempt — other screens,245367,0,311.0
Surprise,AZ,33.670801,-112.452546,Exempt — other screens,748125,0,1742.0
Tempe,AZ,33.388414,-111.931782,Loses funding,1533148,-153315,1518.0
Tucson,AZ,32.153036,-110.870773,Exempt — other screens,5108670,0,1987.0
Yuma,AZ,32.516286,-114.521782,Exempt — other screens,984398,0,958.0
Bentonville,AR,36.352662,-94.231181,Exempt — recent disaster,296575,0,1104.0
Conway,AR,35.074404,-92.467004,Exempt — recent disaster,510478,0,662.0
Fayetteville,AR,36.071455,-94.166564,Exempt — recent disaster,834927,0,1219.0
Fort Smith,AR,35.349276,-94.370883,Exempt — recent disaster,812726,0,329.0
Hot Springs,AR,34.489442,-93.050254,Exempt — recent disaster,419586,0,464.0
Jacksonville,AR,34.880512,-92.13059,Exempt — recent disaster,254968,0,-247.0
Jonesboro,AR,35.819755,-90.679033,Exempt — recent disaster,728792,0,902.0
Little Rock,AR,34.725393,-92.358556,Exempt — recent disaster,1546201,0,-54.0
North Little Rock,AR,34.781752,-92.235057,Exempt — recent disaster,632968,0,1696.0
Pine Bluff,AR,34.211591,-92.017555,Exempt — recent disaster,641918,0,-304.0
Rogers,AR,36.318085,-94.152287,Exempt — recent disaster,529688,0,981.0
Springdale,AR,36.191438,-94.155062,Exempt — recent disaster,862531,0,315.0
Texarkana,AR,33.436339,-93.987118,Exempt — recent disaster,300959,0,-71.0
West Memphis,AR,35.149554,-90.199266,Exempt — recent disaster,241307,0,-127.0
Alameda,CA,37.741911,-122.259914,Exempt — recent disaster,1096362,0,162.0
Alameda County,CA,37.647139,-121.912488,Exempt — recent disaster,1998590,0,309.0
Alhambra,CA,34.083571,-118.136444,Exempt — recent disaster,815800,0,621.0
Aliso Viejo,CA,33.57921,-117.728898,Exempt — recent disaster,281469,0,137.0
Anaheim,CA,33.855502,-117.758657,Exempt — recent disaster,4066241,0,427.0
Antioch,CA,37.978336,-121.796064,Exempt — recent disaster,911040,0,693.0
Apple Valley,CA,34.533376,-117.210358,Exempt — recent disaster,700456,0,61.0
Bakersfield,CA,35.353171,-119.037919,Exempt — recent disaster,4054795,0,1848.0
Baldwin Park,CA,34.082824,-117.971286,Exempt — recent disaster,850026,0,146.0
Bellflower,CA,33.887821,-118.12725,Exempt — recent disaster,943279,0,184.0
Berkeley,CA,37.865673,-122.298725,Exempt — recent disaster,2593026,0,1033.0
Buena Park,CA,33.857353,-118.007373,Exempt — recent disaster,751385,0,-84.0
Burbank,CA,34.190079,-118.326405,Exempt — recent disaster,1072998,0,-58.0
Camarillo,CA,34.221823,-119.032154,Exempt — recent disaster,345293,0,246.0
Carlsbad,CA,33.129284,-117.284183,Exempt — recent disaster,562903,0,-146.0
Carson,CA,33.840367,-118.249574,Exempt — recent disaster,693996,0,465.0
Cathedral,CA,33.835487,-116.463103,Exempt — recent disaster,511608,0,-515.0
Chico,CA,39.758951,-121.81772,Exempt — recent disaster,992809,0,1174.0
Chino,CA,33.978037,-117.657719,Exempt — recent disaster,585259,0,84.0
Chino Hills,CA,33.942969,-117.725648,Exempt — recent disaster,400713,0,-334.0
Chula Vista,CA,32.62767,-117.01517,Exempt — recent disaster,2346364,0,-262.0
Citrus Heights,CA,38.69481,-121.287953,Exempt — recent disaster,633964,0,-31.0
Clovis,CA,36.827809,-119.681843,Exempt — recent disaster,710759,0,1254.0
Compton,CA,33.894047,-118.227469,Exempt — recent disaster,1340424,0,-115.0
Concord,CA,37.972184,-122.001587,Exempt — recent disaster,987662,0,755.0
Contra Costa Co.,CA,37.919479,-121.951543,Exempt — recent disaster,4727157,0,246.0
Corona,CA,33.861969,-117.565495,Exempt — recent disaster,1085264,0,930.0
Costa Mesa,CA,33.665905,-117.912336,Exempt — recent disaster,907261,0,743.0
Cupertino,CA,37.3194,-122.044957,Exempt — recent disaster,354559,0,-183.0
Daly,CA,37.701684,-122.464968,Exempt — recent disaster,929286,0,508.0
Davis,CA,38.556147,-121.737793,Exempt — recent disaster,730016,0,-321.0
Delano,CA,35.76643,-119.264221,Exempt — recent disaster,513901,0,259.0
Downey,CA,33.938237,-118.130856,Exempt — recent disaster,1020836,0,49.0
El Cajon,CA,32.801673,-116.960468,Exempt — recent disaster,1279875,0,-79.0
El Centro,CA,32.786351,-115.560206,Exempt — recent disaster,502738,0,121.0
El Monte,CA,34.074633,-118.029136,Exempt — recent disaster,1491385,0,-242.0
Elk Grove,CA,38.414621,-121.384961,Exempt — recent disaster,1026617,0,924.0
Encinitas,CA,33.050632,-117.263616,Exempt — recent disaster,287051,0,21.0
Escondido,CA,33.133053,-117.074043,Exempt — recent disaster,1341561,0,-423.0
Fairfield,CA,38.26206,-122.032386,Exempt — recent disaster,847959,0,783.0
Fontana,CA,34.109686,-117.462888,Exempt — recent disaster,1942933,0,1257.0
Fountain Valley,CA,33.710582,-117.951129,Exempt — recent disaster,301182,0,-23.0
Fremont,CA,37.49446,-121.94115,Exempt — recent disaster,1579819,0,1034.0
Fresno,CA,36.782684,-119.793359,Exempt — recent disaster,7098936,0,1085.0
Fresno County,CA,36.761006,-119.655019,Exempt — recent disaster,3172269,0,489.0
Fullerton,CA,33.885716,-117.928025,Exempt — recent disaster,1397459,0,637.0
Garden Grove,CA,33.778782,-117.960472,Exempt — recent disaster,1872282,0,559.0
Gardena,CA,33.894417,-118.307522,Exempt — recent disaster,604162,0,-207.0
Gilroy,CA,37.006407,-121.585321,Exempt — recent disaster,380083,0,322.0
Glendale,CA,34.181393,-118.24583,Exempt — recent disaster,1738811,0,-668.0
Glendora City,CA,34.144964,-117.847804,Exempt — recent disaster,296115,0,48.0
Goleta,CA,34.435441,-119.858946,Exempt — recent disaster,320925,0,212.0
Hanford,CA,36.327719,-119.654609,Exempt — recent disaster,523508,0,521.0
Hawthorne,CA,33.914775,-118.348083,Exempt — recent disaster,1149498,0,278.0
Hayward,CA,37.626826,-122.104015,Exempt — recent disaster,1542637,0,61.0
Hemet,CA,33.734068,-116.996808,Exempt — recent disaster,894066,0,437.0
Hesperia,CA,34.397038,-117.315198,Exempt — recent disaster,946179,0,-70.0
Huntington Beach,CA,33.698007,-118.003834,Exempt — recent disaster,1077252,0,812.0
