geoid,county_geoid
0101852,01015
0103076,01081
0105980,01073
0107000,01073
0107000,01117
0120104,01083
0120104,01103
0121184,01045
0121184,01067
0121184,01069
0126896,01077
0128696,01055
0137000,01083
0137000,01089
0137000,01103
01073,01073
0150000,01097
01097,01097
0151000,01101
0157048,01081
01117,01117
0177256,01125
0203000,02020
0404720,04013
0410530,04021
0412000,04013
0420050,04003
0423620,04005
0427400,04013
0427820,04013
0428380,04013
0444270,04019
0444270,04021
04013,04013
0446000,04013
0454050,04013
0454050,04025
0455000,04013
04019,04019
04021,04021
0457380,04025
0457450,04025
0465000,04013
0466820,04003
0471510,04013
0473000,04013
0477000,04019
0485540,04027
0505320,05007
0515190,05045
0523290,05143
0524550,05131
0533400,05051
0534750,05119
0535710,05031
0541000,05119
0550450,05119
0555310,05069
0560410,05007
0566080,05007
0566080,05143
0568810,05091
0574540,05035
0600562,06001
06001,06001
0600884,06037
0600947,06059
0602000,06059
0602252,06013
0602364,06071
0603526,06029
0603666,06037
0604982,06037
0606000,06001
0608786,06059
0608954,06037
0610046,06111
0611194,06073
0611530,06037
0612048,06065
0613014,06007
0613210,06071
0613214,06071
0613392,06073
0613588,06067
0614218,06019
0615044,06037
0616000,06013
06013,06013
0616350,06065
0616532,06059
0617610,06085
0617918,06081
0618100,06113
0618394,06029
0619766,06037
0621712,06073
0621782,06025
0622230,06037
0622020,06067
0622678,06073
0622804,06073
0623182,06095
0624680,06071
0625380,06059
0626000,06001
0627000,06019
06019,06019
0628000,06059
0629000,06059
0628168,06037
0629504,06085
0630000,06037
0630014,06037
0630378,06083
0631960,06031
0632548,06037
0633000,06001
0633182,06065
0633434,06071
0636000,06059
0636056,06037
0636448,06065
0636546,06037
0636770,06059
0637692,06065
06029,06029
0639290,06059
0640004,06073
0639248,06059
0639496,06059
0639892,06037
0640130,06037
0641474,06061
0641992,06001
0642202,06077
0642524,06083
0643000,06037
0644000,06037
06037,06037
0644574,06037
0645022,06039
06041,06041
0646842,06065
0646898,06047
0647766,06085
0648256,06059
0648354,06099
0648816,06037
0648872,06053
06053,06053
0648914,06037
0649270,06065
0649670,06085
0650258,06055
0650398,06073
0651182,06059
0652526,06037
0653000,06001
0653322,06073
0653896,06071
0653980,06059
06059,06059
0654652,06111
0655254,06065
0655156,06037
0655282,06085
0655520,06007
0655618,06037
0656000,06037
0656700,06065
0656784,06097
0656924,06037
0657456,06013
0657792,06001
0658072,06037
0658240,06107
0659444,06067
0659451,06071
0659587,06059
0659920,06089
0660018,06037
0660102,06081
0660466,06071
0662000,06065
06065,06065
0662364,06061
0662896,06037
0662938,06061
0664000,06067
06067,06067
0664224,06053
0665000,06071
06071,06071
0665042,06111
0665084,06059
0666000,06073
06073,06073
0667000,06075
06077,06077
0668000,06085
0668084,06001
06079,06079
0668196,06073
0668252,06081
06081,06081
0669000,06059
0669070,06083
06083,06083
0669084,06085
06085,06085
0669088,06037
0669112,06087
0669196,06083
0670000,06037
0670098,06097
0670224,06073
0670742,06053
0672016,06111
06097,06097
0673080,06037
0673262,06081
06099,06099
0675000,06077
0677000,06085
0678120,06065
0678582,06111
0680000,06037
0680644,06107
0680812,06099
0680854,06059
0681204,06001
0681344,06071
0681554,06095
0681666,06095
06111,06111
0682590,06071
0682954,06107
0682996,06073
0683346,06013
0683668,06087
0684200,06037
0684816,06113
0684550,06059
0685292,06037
0686328,06113
0686972,06101
08001,08001
08005,08005
0803455,08001
0803455,08059
0804000,08001
0804000,08005
0804000,08035
0807850,08013
0809280,08014
0812415,08035
0816000,08041
0816495,08001
0820000,08031
08041,08041
0827425,08069
0831660,08077
0832155,08123
08059,08059
0843000,08059
0845970,08013
0845970,08123
0846465,08069
0862000,08101
0877290,08001
0877290,08123
08123,08123
0883835,08001
0883835,08059
0908000,09001
0908420,09003
0918430,09001
0922700,09003
0912026620,09001
0933690,09001
0917035650,09009
0937000,09003
0944690,09003
0946450,09009
0947290,09007
0947515,09009
0950370,09003
0952000,09009
0952280,09011
0955990,09001
0956200,09011
0968100,09001
0973000,09001
0912074190,09001
0980000,09009
0982660,09003
0982800,09009
1021200,10001
10003,10003
1077580,10003
1207300,12099
1207875,12099
1207950,12081
12009,12009
12011,12011
1210275,12071
12019,12019
1212875,12103
1213150,12009
12021,12021
1214400,12011
1215475,12091
1216475,12011
1216525,12127
1216725,12011
1217100,12099
1217200,12127
12033,12033
1224300,12111
1224475,12091
1224000,12011
1224125,12071
1225175,12001
12053,12053
1230000,12086
12057,12057
1232000,12011
1232275,12086
12031,12031
1235875,12099
1236950,12097
12069,12069
1238250,12105
1239425,12103
1239550,12011
12071,12071
12081,12081
12083,12083
1243975,12009
1245000,12086
1245025,12086
1245060,12086
12086,12086
1245975,12011
1249450,12086
1250750,12083
12095,12095
1253000,12095
12097,12097
1254000,12009
12099,12099
1254075,12099
1254200,12035
1254700,12005
1254725,12005
12101,12101
1255775,12011
1255925,12033
12103,12103
1256975,12103
1257425,12011
12105,12105
1258050,12011
1258575,12127
1258715,12111
1263650,12117
1264175,12115
12115,12115
1264825,12061
12117,12117
1263000,12103
1262625,12097
12109,12109
1269700,12011
1270600,12073
1270675,12011
1271000,12057
1271900,12009
12127,12127
1275812,12099
1276600,12099
1301052,13095
13059,13059
1304000,13089
1304000,13121
13245,13245
1310944,13089
1311560,13127
13057,13057
13063,13063
13067,13067
13215,13215
1321380,13313
13089,13089
13121,13121
1331908,13139
13135,13135
13151,13151
1338964,13179
1342425,13121
1349008,13021
1349756,13067
1366668,13115
1367284,13067
1367284,13121
1368516,13121
1369000,13051
1372122,13121
1378800,13185
1380508,13153
1380508,13225
15001,15001
15003,15003
15007,15007
15009,15009
1608830,16001
1612250,16027
1616750,16055
1639700,16019
1646540,16069
1652120,16001
1656260,16027
1664090,16005
1664090,16077
1682810,16083
1702154,17031
1703012,17043
1703012,17089
1703012,17093
1703012,17197
1705573,17031
1706613,17113
1712385,17019
1714000,17031
1714000,17043
1714351,17031
17031,17031
1718563,17183
1718823,17115
1719161,17037
1719642,17031
17043,17043
1723074,17031
1723074,17089
1724582,17031
1735411,17031
1735411,17089
1738570,17093
1738570,17197
17089,17089
1738934,17091
17097,17097
17119,17119
17111,17111
1749867,17161
1751089,17031
1751622,17043
1751622,17197
1753234,17113
1754885,17031
1757225,17031
1758447,17143
1758447,17179
1759000,17143
1762783,17019
1765078,17161
1765000,17141
1765000,17201
1768003,17031
1768003,17043
1770122,17031
1772000,17167
17163,17163
1777005,17019
1779293,17097
17197,17197
1801468,18095
1805860,18105
1814734,18005
1819486,18089
1820728,18039
1822000,18163
1825000,18003
1827000,18089
1828386,18039
1829898,18081
18057,18057
1831000,18089
18097,18097
1838358,18019
1840392,18067
1842246,18091
1840788,18157
18089,18089
1848798,18091
1849932,18141
1851876,18035
1852326,18043
1871000,18141
1875428,18167
1882862,18157
1901855,19169
1911755,19013
1912000,19113
1916860,19155
1919000,19163
1921000,19153
1921000,19181
1922395,19061
1938595,19103
19153,19153
1973335,19149
1973335,19193
1982425,19013
1983910,19049
1983910,19121
1983910,19153
1983910,19181
20091,20091
2036000,20209
2038900,20045
2039000,20103
2044250,20149
2044250,20161
2053775,20091
2064500,20091
2071000,20177
2079000,20173
2102368,21019
2108902,21227
2117848,21117
2124274,21093
2135866,21101
2137918,21047
2146027,21067
21111,21111
2158620,21059
2158836,21145
2200975,22079
2205000,22033
2208920,22015
2232755,22105
22109,22109
22051,22051
2239475,22051
2240735,22055
2241155,22019
2251410,22073
2255000,22071
2270000,22015
2270000,22017
2270805,22103
22103,22103
2275425,22057
2302060,23001
2302795,23019
2304860,23031
23005,23005
2338740,23001
2360545,23005
2401600,24003
24003,24003
2404000,24510
24005,24005
2408775,24033
2421325,24001
2430325,24021
24021,24021
2431175,24031
2436075,24043
24025,24025
24027,24027
24031,24031
24033,24033
2469925,24045
2501640,25017
2502690,25005
2503690,25001
2507000,25025
2509000,25023
2509210,25021
2511000,25017
2513660,25013
2521990,25017
2523000,25005
2523875,25027
2524960,25017
2526150,25009
2529405,25009
2530840,25013
2534550,25009
2535075,25027
2537000,25017
2537490,25009
2537875,25017
2539835,25017
2545000,25005
2545560,25017
2546330,25015
2552490,25009
2553960,25003
2554275,25023
2555745,25021
2556585,25025
2559105,25009
2562535,25017
2567000,25013
2569170,25005
2572600,25017
2576030,25013
2578972,25021
2582000,25027
2500182525,25001
2605920,26025
2606020,26017
2607520,26021
2616313120,26163
2616480,26091
2621000,26163
2621020,26163
2622000,26163
2624120,26037
2624120,26065
2627440,26125
2629000,26049
26049,26049
2634000,26081
2638640,26005
2638640,26139
2641420,26075
2642160,26077
26081,26081
2646000,26037
2646000,26045
2646000,26065
2647800,26163
2649000,26163
26099,26099
2653780,26017
2653780,26111
2655020,26115
2656320,26121
2656360,26121
2657760,26021
2657760,26027
2659140,26121
26125,26125
2665440,26125
2665820,26147
2665560,26077
2616367625,26163
2669800,26099
2670040,26125
2670520,26145
2674900,26125
2670760,26099
2676460,26099
2679000,26163
2680340,26055
2680340,26089
2684000,26099
26161,26161
2612584240,26125
26163,26163
2686000,26163
2688940,26081
27003,27003
2706616,27053
27037,27037
2717000,27137
2718116,27053
27053,27053
2739878,27013
2739878,27079
2739878,27103
2743000,27053
2743864,27027
2751730,27053
27123,27123
2754880,27109
2756896,27009
2756896,27141
2756896,27145
27137,27137
2758000,27123
27163,27163
2771428,27163
2806220,28047
2829700,28047
2831020,28035
2831020,28073
2836000,28049
2836000,28089
2836000,28121
2849240,28059
2855360,28059
2906652,29095
2911242,29031
2911242,29201
2915670,29019
2924778,29189
2935000,29047
2935000,29095
2937000,29027
2937000,29051
29099,29099
2937592,29097
2937592,29145
2938000,29037
2938000,29047
2938000,29095
2938000,29165
2941348,29037
2941348,29095
2954074,29183
2970000,29043
2970000,29077
2964550,29021
2965000,29510
29189,29189
29183,29183
3006550,30111
3008950,30031
3032800,30013
3050200,30063
3103950,31153
3119595,31079
3128000,31109
3137000,31055
3209700,32510
32003,32003
3231900,32003
3240000,32003
3251800,32003
3260600,32031
3268400,32031
3318820,33017
3345140,33011
3350260,33011
3362900,33015
3365140,33017
3401960,34025
3402080,34001
34001,34001
3403580,34017
34003,34003
3401306260,34013
3402907420,34029
3407600,34011
34005,34005
3410000,34007
34007,34007
3400712280,34007
3413690,34031
3419390,34013
3402320230,34023
3421000,34039
34013,34013
3402122185,34021
3424930,34037
34015,34015
3426820,34007
3402129310,34021
3432250,34017
34017,34017
3401334450,34013
3436000,34017
3438580,34029
3441310,34025
34023,34023
3402545990,34025
3446680,34011
34025,34025
34027,34027
3451210,34023
3451000,34013
3401752470,34017
3454360,34009
34029,34029
3454690,34023
3402756460,34027
3456550,34031
34031,34031
3457000,34031
3458200,34023
3402359010,34023
3460900,34021
3465790,34023
34035,34035
3473110,34029
3474000,34021
3474630,34017
34039,34039
3403974480,34039
3476070,34011
3403177840,34031
3481950,34023
3502000,35001
3525800,35045
3539380,35013
3563460,35001
3563460,35043
3570500,35049
3601000,36001
3602902000,36029
3603078,36011
3603408,36103
3606607,36007
3609000,36103
3611000,36029
3615000,36029
3617332,36001
3621105,36013
36027,36027
3624229,36015
36029,36029
3629333,36113
3630279,36055
3631643,36029
3636233,36103
3637737,36055
3637869,36103
3638077,36109
3638264,36013
3639727,36111
3639853,36071
3647042,36071
36055,36055
3649121,36119
36059,36059
3650617,36119
3651000,36005
3651000,36047
3651000,36061
3651000,36081
3651000,36085
3650034,36071
3651055,36063
36067,36067
36071,36071
3659641,36027
3663000,36055
36087,36087
3663418,36065
3665255,36091
3665508,36093
36103,36103
3673000,36067
3674166,36029
3675484,36083
3600776056,36007
3676540,36065
3678608,36045
36119,36119
3681677,36119
3684000,36119
3702140,37021
3709060,37001
3709060,37081
3710740,37037
3710740,37183
3711800,37063
3711800,37135
3712000,37119
3714100,37025
37051,37051
3719000,37063
3719000,37135
3719000,37183
3722920,37051
3725580,37071
3726880,37191
3728000,37081
3728080,37147
3731060,37023
3731060,37027
3731060,37035
3731400,37057
3731400,37067
3731400,37081
3731400,37151
3734200,37133
3735200,37025
3735200,37159
3737760,37027
37119,37119
3744220,37097
3744400,37023
3746340,37049
3755000,37063
3755000,37183
3757500,37065
3757500,37127
3758860,37159
37179,37179
37183,37183
3774440,37129
3775000,37067
3807200,38015
3825700,38017
3832060,38035
3853380,38101
3901000,39153
3901420,39099
3901420,39151
3903828,39153
3907972,39173
39017,39017
3912000,39151
3915000,39061
39025,39025
3916000,39035
3916014,39035
3918000,39041
3918000,39045
3918000,39049
39035,39035
3919778,39153
3921000,39057
3921000,39113
39041,39041
3923380,39035
3925256,39093
3925704,39035
3925914,39057
39049,39049
3933012,39017
39061,39061
3939872,39133
3940040,39057
3940040,39113
39085,39085
3941664,39035
3941720,39045
3943554,39003
3944856,39093
3947138,39139
3947628,39167
3948244,39151
3949056,39085
3949840,39017
3949840,39165
39113,39113
3954040,39089
3961000,39035
3970380,39043
3974118,39023
39151,39151
3974608,39081
39153,39153
3977000,39095
3980892,39155
39165,39165
3988000,39099
3988000,39155
4023200,40109
4023950,40047
4041850,40031
4048350,40109
4049200,40027
4052500,40027
4055000,40017
4055000,40027
4055000,40109
4055000,40125
4066800,40125
4075000,40113
4075000,40131
4075000,40143
4075000,40145
40143,40143
4101000,41003
4101000,41043
4103050,41029
4105350,41067
4105800,41017
41005,41005
4115800,41003
4123850,41039
4130550,41033
4131250,41051
4134100,41067
41047,41047
4147000,41029
41051,41051
4159000,41005
4159000,41051
4159000,41067
4161200,41017
4164900,41047
4164900,41053
4169600,41039
41067,41067
4209100156,42091
42003,42003
4202000,42077
4202184,42013
42007,42007
4201705616,42017
42011,42011
4205888,42037
4206088,42077
4206088,42095
4207128,42037
4208760,42017
42017,42017
4211272,42041
4212536,42055
