geoid,name,state,type,geoid_type,cdbg_fy25
0101852,Anniston,AL,Principal City,place,519183
0103076,Auburn,AL,Principal City,place,702799
0105980,Bessemer,AL,Metro City,place,638197
0107000,Birmingham,AL,Principal City,place,5733710
0120104,Decatur,AL,Principal City,place,424836
0121184,Dothan,AL,Principal City,place,537195
0126896,Florence,AL,Principal City,place,321351
0128696,Gadsden,AL,Principal City,place,900286
0137000,Huntsville,AL,Principal City,place,1400900
01073,Jefferson County,AL,Urban County,county,2114163
0150000,Mobile,AL,Principal City,place,2336237
01097,Mobile County,AL,Urban County,county,1608060
0151000,Montgomery,AL,Principal City,place,1766448
0157048,Opelika,AL,Principal City,place,305551
01117,Shelby County,AL,Urban County,county,878552
0177256,Tuscaloosa,AL,Principal City,place,877797
0203000,Anchorage,AK,Principal City,place,1899998
0404720,Avondale,AZ,Metro City,place,695530
0410530,Casa Grande,AZ,Metro City,place,459381
0412000,Chandler,AZ,Metro City,place,1486156
0420050,Douglas,AZ,Principal City,place,183562
0423620,Flagstaff,AZ,Principal City,place,656638
0427400,Gilbert,AZ,Metro City,place,1112194
0427820,Glendale,AZ,Principal City,place,2376397
0428380,Goodyear,AZ,Metro City,place,415122
0444270,Marana,AZ,Metro City,place,207209
04013,Maricopa County,AZ,Urban County,county,2940912
0446000,Mesa,AZ,Principal City,place,3675410
0454050,Peoria,AZ,Metro City,place,972829
0455000,Phoenix,AZ,Principal City,place,14389727
04019,Pima County,AZ,Urban County,county,2593824
04021,Pinal County,AZ,Urban County,county,1825148
0457380,Prescott,AZ,Principal City,place,275024
0457450,Prescott Valley,AZ,Principal City,place,292411
0465000,Scottsdale,AZ,Principal City,place,1059148
0466820,Sierra Vista,AZ,Principal City,place,245367
0471510,Surprise,AZ,Metro City,place,748125
0473000,Tempe,AZ,Principal City,place,1533148
0477000,Tucson,AZ,Principal City,place,5108670
0485540,Yuma,AZ,Principal City,place,984398
0505320,Bentonville,AR,Principal City,place,296575
0515190,Conway,AR,Principal City,place,510478
0523290,Fayetteville,AR,Principal City,place,834927
0524550,Fort Smith,AR,Principal City,place,812726
0533400,Hot Springs,AR,Principal City,place,419586
0534750,Jacksonville,AR,Metro City,place,254968
0535710,Jonesboro,AR,Principal City,place,728792
0541000,Little Rock,AR,Principal City,place,1546201
0550450,North Little Rock,AR,Principal City,place,632968
0555310,Pine Bluff,AR,Principal City,place,641918
0560410,Rogers,AR,Principal City,place,529688
0566080,Springdale,AR,Principal City,place,862531
0568810,Texarkana,AR,Metro City,place,300959
0574540,West Memphis,AR,Metro City,place,241307
0600562,Alameda,CA,Metro City,place,1096362
06001,Alameda County,CA,Urban County,county,1998590
0600884,Alhambra,CA,Metro City,place,815800
0600947,Aliso Viejo,CA,Metro City,place,281469
0602000,Anaheim,CA,Principal City,place,4066241
0602252,Antioch,CA,Metro City,place,911040
0602364,Apple Valley,CA,Metro City,place,700456
0603526,Bakersfield,CA,Principal City,place,4054795
0603666,Baldwin Park,CA,Metro City,place,850026
0604982,Bellflower,CA,Metro City,place,943279
0606000,Berkeley,CA,Principal City,place,2593026
0608786,Buena Park,CA,Metro City,place,751385
0608954,Burbank,CA,Principal City,place,1072998
0610046,Camarillo,CA,Principal City,place,345293
0611194,Carlsbad,CA,Principal City,place,562903
0611530,Carson,CA,Principal City,place,693996
0612048,Cathedral,CA,Metro City,place,511608
0613014,Chico,CA,Principal City,place,992809
0613210,Chino,CA,Principal City,place,585259
0613214,Chino Hills,CA,Metro City,place,400713
0613392,Chula Vista,CA,Metro City,place,2346364
0613588,Citrus Heights,CA,Metro City,place,633964
0614218,Clovis,CA,Metro City,place,710759
0615044,Compton,CA,Metro City,place,1340424
0616000,Concord,CA,Metro City,place,987662
