geoid,safmr_median,n_zips
72005,620.0,5
72071,595.0,2
72013,570.0,8
72091,610.0,3
72023,550.0,3
72097,565.0,6
72113,595.0,12
72137,680.0,7
72135,710.0,6
72153,535.0,2
72145,610.0,5
72131,530.0,2
72125,520.0,1
72075,575.0,4
72119,630.0,3
72025,640.0,7
72031,740.0,15
72029,635.0,4
72053,600.0,4
72035,540.0,3
72041,610.0,1
72069,610.0,3
72127,660.0,37
72057,515.0,2
72061,740.0,13
72021,720.0,15
72139,735.0,8
23005,1965.0,48
34023,2160.0,54
34017,2190.0,19
34013,2205.0,38
34027,2560.0,62
34031,1980.0,43
34003,2290.0,73
34039,2220.0,37
34035,2320.0,34
34025,2050.0,59
34029,2010.0,35
34007,1740.0,39
34005,1970.0,40
34015,1970.0,30
34001,1855.0,32
36119,2860.0,83
36087,2640.0,28
36071,1950.0,57
36059,2690.0,81
36103,2620.0,108
36027,1940.0,33
36067,1350.0,64
36029,1130.0,73
36055,1450.0,55
42007,1090.0,31
42003,1300.0,127
42125,1155.0,64
42129,1120.0,91
42041,1230.0,23
42043,1230.0,35
42133,1300.0,47
42071,1390.0,64
42011,1360.0,65
42029,1935.0,52
42079,1130.0,49
42095,1485.0,30
42077,1500.0,37
42017,1900.0,67
42091,1990.0,85
42045,1790.0,47
10003,1790.0,34
51107,2515.0,28
51153,2300.0,25
51059,2550.0,64
24033,2030.0,59
24027,2490.0,28
24031,2360.0,71
24003,2480.0,44
24021,1750.0,35
24025,1905.0,24
24005,1910.0,61
51013,2735.0,18
51087,1770.0,21
51041,1940.0,16
37183,1820.0,55
37119,1940.0,60
37179,1690.0,13
37051,1170.0,26
45079,1340.0,32
45063,1160.0,20
45015,1470.0,19
45083,1190.0,37
45045,1325.0,36
45019,1860.0,40
45051,1410.0,21
13089,1840.0,52
13135,1990.0,38
13057,1980.0,20
13121,1940.0,66
13067,1910.0,32
13063,1560.0,20
13151,1740.0,11
13059,1200.0,11
13245,1180.0,13
13215,1130.0,16
12019,1695.0,14
12109,2080.0,15
12031,1700.0,47
12069,1710.0,37
12127,1720.0,45
12083,1320.0,38
12033,1560.0,23
12117,2000.0,27
12095,1980.0,76
12009,1640.0,43
12097,1970.0,22
12086,2330.0,115
12011,2390.0,84
12099,2190.0,74
12057,2030.0,84
12053,1640.0,17
12101,1860.0,39
12105,1340.0,55
12081,1750.0,28
12103,1980.0,69
12071,1860.0,49
12021,1950.0,23
12115,1960.0,36
01073,1170.0,77
01117,1410.0,23
01097,1090.0,48
47037,1880.0,44
47093,1600.0,39
47157,1360.0,60
21111,1350.0,57
39041,1500.0,25
39049,1430.0,54
39035,1270.0,56
39085,1230.0,14
39153,1130.0,48
39151,980.0,47
39061,1240.0,62
39017,1340.0,23
39165,1400.0,24
39113,1060.0,48
39025,1140.0,22
18057,1500.0,30
18097,1240.0,52
18089,1190.0,32
26099,1380.0,44
26125,1540.0,91
26163,1300.0,81
26161,1495.0,32
26049,1010.0,38
26081,1380.0,49
19153,1200.0,48
55133,1460.0,40
55079,1220.0,40
55025,1410.0,51
27163,1750.0,21
27003,1650.0,21
27037,1705.0,26
27123,1580.0,26
27053,1730.0,75
27137,1020.0,51
17097,1970.0,38
17031,1735.0,202
17111,1705.0,26
17089,1850.0,40
17043,2045.0,48
17197,1670.0,49
17119,1090.0,36
17163,1160.0,35
29189,1290.0,52
29099,1090.0,25
29183,1380.0,17
20091,1520.0,42
22051,1420.0,33
22109,1085.0,14
22103,1515.0,20
40143,1190.0,62
48113,1800.0,133
48439,1710.0,93
48491,2000.0,34
48453,1990.0,82
48201,1500.0,227
48157,1630.0,36
