county_geoid,uglg_geoid,uglg_type,f_inC
01073,0107000,place,0.988709
01073,0105980,place,1.0
01073,0173848,place,0.007895
01073,0135896,place,0.702808
01073,0140928,place,0.066667
01073,0134024,place,0.123629
01097,0150000,place,1.0
01097,0119744,place,1.0
01117,0107000,place,0.011291
01117,0141968,place,0.00704
01117,0135896,place,0.297192
04013,0465000,place,1.0
04013,0410180,place,1.0
04013,0411300,place,1.0
04013,0471510,place,1.0
04013,0454050,place,1.0
04013,0427820,place,1.0
04013,0404720,place,1.0
04013,0428380,place,1.0
04013,0455000,place,1.0
04013,0452930,place,1.0
04013,0473000,place,1.0
04013,0412000,place,1.0
04013,0446000,place,1.0
04013,0402830,place,0.013801
04013,0427400,place,1.0
04013,0458150,place,0.802112
04019,0477000,place,1.0
04019,0444270,place,1.0
04021,0483790,place,0.006803
04021,0402830,place,0.986199
04021,0458150,place,0.197888
06001,0653000,place,1.0
06001,0606000,place,1.0
06001,0600562,place,1.0
06001,0633000,place,1.0
06001,0668084,place,1.0
06001,0681204,place,1.0
06001,0626000,place,1.0
06001,0657792,place,1.0
06001,0641992,place,1.0
06013,0602252,place,1.0
06013,0657456,place,1.0
06013,0616000,place,1.0
06013,0683346,place,1.0
06019,0627000,place,1.0
06019,0614218,place,1.0
06019,0624134,place,1.0
06029,0618394,place,1.0
06037,0644000,place,1.0
06037,0670000,place,1.0
06037,0630000,place,1.0
06037,0608954,place,1.0
06037,0658072,place,1.0
06037,0636490,place,1.0
06037,0684200,place,1.0
06037,0603666,place,1.0
06037,0622230,place,1.0
06037,0662896,place,1.0
06037,0656000,place,1.0
06037,0600884,place,1.0
06037,0648914,place,1.0
06037,0648816,place,1.0
06037,0685292,place,1.0
06037,0656924,place,1.0
06037,0636056,place,1.0
06037,0673080,place,1.0
06037,0644574,place,1.0
06037,0611530,place,1.0
06037,0615044,place,1.0
06037,0652526,place,1.0
06037,0619766,place,1.0
06037,0604982,place,1.0
06037,0655618,place,1.0
06037,0639892,place,1.0
06037,0643000,place,1.0
06037,0603274,place,1.0
06037,0636546,place,1.0
06037,0632548,place,1.0
06037,0628168,place,1.0
06037,0660018,place,1.0
06037,0680000,place,1.0
06037,0655380,place,1.0
06037,0633518,place,1.0
06037,0682422,place,1.0
06053,0611250,place,1.0
06053,0654848,place,1.0
06053,0648872,place,1.0
06053,0670742,place,1.0
06053,0645778,place,1.0
06059,0639290,place,1.0
06059,0628000,place,1.0
06059,0608786,place,1.0
06059,0602000,place,1.0
06059,0653980,place,1.0
06059,0648256,place,1.0
06059,0639496,place,1.0
06059,0659587,place,1.0
06059,0665084,place,1.0
06059,0639248,place,1.0
06059,0600947,place,1.0
06059,0636770,place,1.0
06059,0680854,place,1.0
06059,0616532,place,1.0
06059,0651182,place,1.0
06059,0669000,place,1.0
06059,0629000,place,1.0
06059,0684550,place,1.0
06059,0625380,place,1.0
06059,0636000,place,1.0
06065,0662000,place,1.0
06065,0637692,place,1.0
06065,0616350,place,1.0
06065,0649270,place,1.0
06065,0656700,place,1.0
06065,0646842,place,1.0
06065,0678120,place,1.0
06067,0664000,place,1.0
06067,0613588,place,1.0
06067,0622020,place,1.0
06071,0613214,place,1.0
06071,0613210,place,1.0
06071,0681344,place,1.0
06071,0659451,place,1.0
06071,0653896,place,1.0
06071,0624680,place,1.0
06071,0660466,place,1.0
06071,0665000,place,1.0
06073,0666000,place,1.0
06073,0650398,place,1.0
06073,0613392,place,1.0
06073,0640004,place,1.0
06073,0621712,place,1.0
06073,0670224,place,1.0
06073,0622678,place,1.0
06073,0611194,place,1.0
06073,0668196,place,1.0
06073,0653322,place,1.0
06073,0682996,place,1.0
06073,0622804,place,1.0
06079,0649362,place,1.0
06081,0673262,place,1.0
06081,0617918,place,1.0
06081,0668252,place,1.0
06081,0660102,place,1.0
06083,0669070,place,1.0
06083,0669196,place,1.0
06083,0631414,place,1.0
06083,0630378,place,1.0
06085,0668000,place,1.0
06085,0647766,place,1.0
06085,0649670,place,1.0
06085,0655282,place,1.0
06085,0677000,place,1.0
06085,0669084,place,1.0
06085,0617610,place,1.0
06111,0665042,place,1.0
06111,0654652,place,1.0
06111,0610046,place,1.0
06111,0678582,place,1.0
06111,0672016,place,1.0
08001,0804000,place,0.114507
08001,0877290,place,1.0
08001,0816495,place,1.0
08001,0845530,place,0.062139
08001,0883835,place,0.594823
08001,0803455,place,0.021808
08005,0804000,place,0.873797
08005,0806090,place,0.098646
08005,0808070,place,0.691275
08005,0813845,place,1.0
08059,0883835,place,0.405177
08059,0803455,place,0.978192
08059,0845255,place,0.036902
08059,0808070,place,0.308725
08059,0843000,place,1.0
08059,0852350,place,1.0
08123,0854330,place,0.000538
08123,0808675,place,0.010372
08123,0845970,place,0.014898
08123,0806255,place,0.01221
10003,1067310,place,0.001835
10003,1077580,place,1.0
12009,1271900,place,1.0
12009,1213150,place,1.0
12009,1243975,place,1.0
12009,1276500,place,1.0
12009,1254000,place,1.0
12009,1242625,place,1.0
12009,1227256,place,1.0
12009,1244000,place,1.0
12009,1213175,place,1.0
12009,1210250,place,1.0
12011,1216725,place,1.0
12011,1214400,place,1.0
12011,1258050,place,1.0
12011,1270675,place,1.0
12011,1224000,place,1.0
12011,1239550,place,1.0
12011,1257425,place,1.0
12011,1269700,place,1.0
12011,1216475,place,1.0
12011,1255775,place,1.0
12011,1232000,place,1.0
12011,1245975,place,1.0
12019,1252125,place,1.0
12019,1236475,place,1.0
12019,1227400,place,1.0
12021,1243083,place,1.0
12021,1221425,place,1.0
12033,1255925,place,1.0
12033,1211362,place,1.0
12057,1271000,place,1.0
12031,1203250,place,1.0
12069,1237375,place,1.0
12071,1224125,place,1.0
12071,1210275,place,1.0
12081,1207950,place,1.0
12081,1254250,place,1.0
12083,1242150,place,1.0
12086,1249450,place,1.0
12086,1226250,place,1.0
12086,1245060,place,1.0
12086,1230000,place,1.0
12086,1245000,place,1.0
12086,1270075,place,1.0
12086,1245025,place,1.0
12086,1236300,place,1.0
12086,1245200,place,1.0
12086,1243900,place,1.0
12095,1253000,place,1.0
12095,1205300,place,1.0
12095,1219900,place,1.0
12095,1237625,place,1.0
12095,1204150,place,1.0
12095,1201700,place,1.0
12097,1236950,place,1.0
12099,1235875,place,1.0
12099,1254075,place,1.0
12099,1276600,place,1.0
12099,1207875,place,1.0
12099,1217100,place,1.0
12099,1207300,place,1.0
12101,1248500,place,1.0
12103,1263000,place,1.0
12103,1239425,place,1.0
12103,1256975,place,1.0
12103,1212875,place,1.0
12103,1205150,place,1.0
12103,1259725,place,1.0
12105,1238250,place,1.0
12105,1257950,place,1.0
12115,1241150,place,0.640125
12115,1264175,place,1.0
12117,1263650,place,1.0
12109,1243250,place,0.142857
12109,1262500,place,1.0
12127,1222550,place,0.026736
12127,1216525,place,1.0
12127,1258575,place,1.0
12127,1258200,place,1.0
12127,1219825,place,1.0
12127,1250450,place,1.0
12127,1256425,place,1.0
13057,1353172,place,0.029661
13063,1317776,place,0.058406
13089,1304000,place,0.065725
13089,1310944,place,1.0
13121,1304000,place,0.934275
13121,1372122,place,1.0
13121,1368516,place,1.0
13121,1315552,place,1.0
13121,1367284,place,1.0
13121,1342425,place,1.0
13121,1351670,place,1.0
13135,1310076,place,0.194091
13135,1304140,place,0.024898
17031,1714000,place,1.0
17031,1719642,place,1.0
17031,1718992,place,0.084591
17031,1709447,place,0.353769
17031,1751089,place,1.0
17031,1702154,place,1.0
17031,1757225,place,1.0
