geoid,name,state,type,cdbg_fy25,exempt_A,exempt_B,exempt_C,exempt_D,eligible,current_rate,prior_rate,hgir,recent_change,bps_permits_latest,extreme,bna_class,adjustment,adjusted_cdbg
0101852,Anniston,AL,Principal City,519183,True,True,True,False,False,-0.004747732877578237,-0.0030669187398203457,-0.2150849737198415,-329.0,11.0,False,,0.0,519183.0
0103076,Auburn,AL,Principal City,702799,False,True,True,False,False,0.05156000420143747,0.025407126855902185,0.33979280487993874,1485.0,1024.0,True,,0.0,702799.0
0105980,Bessemer,AL,Metro City,638197,True,False,True,False,False,-0.006302991214088505,0.009750888573480054,-1.0,215.0,37.0,False,,0.0,638197.0
0107000,Birmingham,AL,Principal City,5733710,True,True,True,False,False,-0.00952684970238804,0.006175008020299355,-1.0,446.0,676.0,False,,0.0,5733710.0
0120104,Decatur,AL,Principal City,424836,True,False,True,False,False,0.0062570389365559365,0.0002756988166681129,0.9155947086557854,-187.0,126.0,False,,0.0,424836.0
0121184,Dothan,AL,Principal City,537195,True,True,True,False,False,0.013560069206162817,0.011836838722630194,0.06785197979077445,163.0,271.0,False,,0.0,537195.0
0126896,Florence,AL,Principal City,321351,True,False,True,False,False,-0.0029529527996298155,0.004613291140746378,-1.0,373.0,131.0,False,,0.0,321351.0
0128696,Gadsden,AL,Principal City,900286,True,True,True,False,False,-0.011949621606048844,-0.006914006332687017,-0.26694839877653387,135.0,42.0,False,,0.0,900286.0
0137000,Huntsville,AL,Principal City,1400900,True,True,True,False,False,0.021504968896792542,0.01531256251336699,0.1681917865280018,1796.0,1485.0,False,,0.0,1400900.0
01073,Jefferson County,AL,Urban County,2114163,True,True,True,False,False,0.006687496859491215,0.0017013718832803448,0.5943739411237381,229.64871800001129,2117.0,False,,0.0,2114163.0
0150000,Mobile,AL,Principal City,2336237,True,False,True,False,False,0.011565750978027589,0.005955306896849644,0.3202114918655993,7636.0,674.0,False,,0.0,2336237.0
01097,Mobile County,AL,Urban County,1608060,True,False,True,False,False,-0.0075237806079397895,0.0011694509777160356,-1.0,-6946.0,1715.0,False,,0.0,1608060.0
0151000,Montgomery,AL,Principal City,1766448,True,True,True,False,False,0.0036276441524150105,0.0018338457927491447,0.32844487084594454,423.0,251.0,False,,0.0,1766448.0
0157048,Opelika,AL,Principal City,305551,True,True,True,False,False,0.03126682574631778,0.00035760939551021664,0.9773839821071001,631.0,543.0,False,,0.0,305551.0
01117,Shelby County,AL,Urban County,878552,True,False,True,False,False,0.009710630052156999,0.013285356479801447,-0.15545001396989458,1035.7496860000101,990.0,False,,0.0,878552.0
0177256,Tuscaloosa,AL,Principal City,877797,True,False,True,False,False,0.01588670998779751,0.016987117319832157,-0.03347366042101385,925.0,433.0,False,,0.0,877797.0
0203000,Anchorage,AK,Principal City,1899998,False,True,False,False,False,0.005006693967239295,0.006364410729139847,-0.11940060338490104,631.0,341.0,False,,0.0,1899998.0
0404720,Avondale,AZ,Metro City,695530,False,True,False,False,False,0.025847236895836234,0.011669639213554683,0.3778992057052621,718.0,1555.0,False,,0.0,695530.0
0410530,Casa Grande,AZ,Metro City,459381,True,True,False,False,False,0.025558639355169888,0.0036041080590742958,0.7528279480750216,855.0,1199.0,False,,0.0,459381.0
0412000,Chandler,AZ,Metro City,1486156,False,False,False,False,True,0.029111572065493307,0.0065212939815202375,0.6339730869295708,1356.0,1020.0,False,bonus,158757.92522201224,1644913.9252220122
0420050,Douglas,AZ,Principal City,183562,True,False,False,False,False,0.02068250537684202,-0.004910613063361935,1.0,-102.0,14.0,False,,0.0,183562.0
0423620,Flagstaff,AZ,Principal City,656638,False,False,False,False,True,0.026880913844283816,0.011171423163353511,0.4128390505365628,528.0,562.0,False,bonus,61817.245219190605,718455.2452191906
0427400,Gilbert,AZ,Metro City,1112194,False,False,False,False,True,0.040953163563358874,0.012264399563272521,0.5390845111006178,5353.0,1858.0,True,bonus,626719.154655923,1738913.1546559231
0427820,Glendale,AZ,Principal City,2376397,False,False,False,False,True,0.007948291996853873,0.0013506575171362556,0.7095032046137659,1889.0,1377.0,False,bonus,221160.56102093004,2597557.56102093
0428380,Goodyear,AZ,Metro City,415122,False,True,False,False,False,0.08036704245997894,0.012876353696663179,0.7238119968296342,2718.0,3195.0,True,,0.0,415122.0
0444270,Marana,AZ,Metro City,207209,False,True,False,False,False,0.050912683189460184,0.04612644294983048,0.04932278793153494,1064.0,1544.0,True,,0.0,207209.0
04013,Maricopa County,AZ,Urban County,2940912,False,False,False,False,True,0.013360169823297907,0.008459270442140676,0.22461159963485067,3071.3517779998947,36380.0,False,penalty,-294091.2,2646820.8
0446000,Mesa,AZ,Principal City,3675410,False,False,False,False,True,0.010711972798951086,0.011010941333802649,-0.013762818976519304,1863.0,2735.0,False,penalty,-367541.0,3307869.0
0454050,Peoria,AZ,Metro City,972829,False,True,False,False,False,0.03749699264543116,-0.002860229446212559,1.0,493.0,1901.0,False,,0.0,972829.0
0455000,Phoenix,AZ,Principal City,14389727,False,False,False,False,True,0.010045173645008898,0.0075919455240829326,0.13909460481647848,10198.0,8997.0,False,penalty,-1438972.7000000002,12950754.3
04019,Pima County,AZ,Urban County,2593824,True,False,False,False,False,0.0061884668697334,0.004587408342758614,0.14857805007975097,1510.0,5250.0,False,,0.0,2593824.0
04021,Pinal County,AZ,Urban County,1825148,False,True,False,False,False,0.01229973032348708,0.012816373070004161,-0.02057017915649162,4442.621010000032,9504.0,False,,0.0,1825148.0
0457380,Prescott,AZ,Principal City,275024,False,False,False,False,True,0.02594206571859292,0.004294466079336701,0.7159418872484076,-124.0,439.0,False,bonus,0.0,275024.0
0457450,Prescott Valley,AZ,Principal City,292411,False,False,False,False,True,0.020411582044440824,0.029142860868501153,-0.1761956811702954,725.0,548.0,False,penalty,-29241.100000000002,263169.9
0465000,Scottsdale,AZ,Principal City,1059148,False,True,False,False,False,0.0005167232447014225,0.01921257130204479,-0.9476186800823406,746.0,1320.0,False,,0.0,1059148.0
0466820,Sierra Vista,AZ,Principal City,245367,True,True,False,False,False,0.004732010668107245,0.004255985540816631,0.05296231954548271,311.0,5.0,False,,0.0,245367.0
0471510,Surprise,AZ,Metro City,748125,False,True,False,False,False,0.019996633511050188,0.007911261239556433,0.43304492794932375,1742.0,3490.0,False,,0.0,748125.0
0473000,Tempe,AZ,Principal City,1533148,False,False,False,False,True,0.01235221676822884,0.02508379177256126,-0.3400890078989098,1518.0,1075.0,False,penalty,-153314.80000000002,1379833.2
0477000,Tucson,AZ,Principal City,5108670,True,False,False,False,False,0.007034851799563757,0.0060249681637052355,0.07732753121397078,1987.0,1505.0,False,,0.0,5108670.0
0485540,Yuma,AZ,Principal City,984398,True,False,False,False,False,0.016459980629707882,0.008471142193927417,0.32043636751918997,958.0,686.0,False,,0.0,984398.0
0505320,Bentonville,AR,Principal City,296575,False,True,True,False,False,0.051643985090815914,0.042321930002515495,0.0992067717218665,1104.0,549.0,True,,0.0,296575.0
0515190,Conway,AR,Principal City,510478,True,False,True,False,False,0.01547436357290266,0.01001195346787731,0.21432716607445065,662.0,627.0,False,,0.0,510478.0
0523290,Fayetteville,AR,Principal City,834927,False,False,True,False,False,0.03758566413730491,0.007286775053083838,0.6752226897153121,1219.0,2236.0,False,,0.0,834927.0
0524550,Fort Smith,AR,Principal City,812726,True,False,True,False,False,0.0024490211226084746,0.00461000946983936,-0.30613103583129925,329.0,253.0,False,,0.0,812726.0
0533400,Hot Springs,AR,Principal City,419586,True,True,True,False,False,0.015747275084318613,0.014558331854892748,0.039231790731355826,464.0,111.0,False,,0.0,419586.0
0534750,Jacksonville,AR,Metro City,254968,True,True,True,False,False,0.009366130238798176,-0.001397061891889373,1.0,-247.0,128.0,False,,0.0,254968.0
0535710,Jonesboro,AR,Principal City,728792,True,False,True,False,False,0.0184204659678624,0.015775175564089805,0.07735753111404124,902.0,760.0,False,,0.0,728792.0
0541000,Little Rock,AR,Principal City,1546201,True,True,True,False,False,0.006766908174013375,0.006301820092359467,0.035587860744692876,-54.0,486.0,False,,0.0,1546201.0
0550450,North Little Rock,AR,Principal City,632968,True,False,True,False,False,0.023779627186853558,0.007484409893874666,0.5212128315643404,1696.0,175.0,False,,0.0,632968.0
0555310,Pine Bluff,AR,Principal City,641918,True,True,True,False,False,-0.023381855200523494,0.0031735575930587068,-1.0,-304.0,13.0,False,,0.0,641918.0
0560410,Rogers,AR,Principal City,529688,True,False,True,False,False,0.0239213605997608,0.02361464157895754,0.006452352043617492,981.0,633.0,False,,0.0,529688.0
0566080,Springdale,AR,Principal City,862531,True,False,True,False,False,0.024483248577059635,0.00899529057557924,0.4626234714384062,315.0,737.0,False,,0.0,862531.0
0568810,Texarkana,AR,Metro City,300959,True,True,True,False,False,0.003848829667377318,-0.004720938000532082,1.0,-71.0,21.0,False,,0.0,300959.0
0574540,West Memphis,AR,Metro City,241307,True,True,True,False,False,0.00037704016319661804,-0.00448488319523388,1.0,-127.0,29.0,False,,0.0,241307.0
0600562,Alameda,CA,Metro City,1096362,False,False,True,False,False,-0.0003403044966028279,0.001116697367541164,-1.0,162.0,88.0,False,,0.0,1096362.0
06001,Alameda County,CA,Urban County,1998590,False,False,True,False,False,0.010803015563893403,0.01073640679346477,0.0030924121048157465,309.0,1743.0,False,,0.0,1998590.0
0600884,Alhambra,CA,Metro City,815800,False,False,True,False,False,0.006424071509512519,0.006289925482467984,0.01055105071435435,621.0,134.0,False,,0.0,815800.0
0600947,Aliso Viejo,CA,Metro City,281469,False,False,True,False,False,0.009016333639149776,0.0028912327258434622,0.514387300104692,137.0,0.0,False,,0.0,281469.0
0602000,Anaheim,CA,Principal City,4066241,False,False,True,False,False,0.007381686057363446,0.0036839552722913727,0.33416326039436345,427.0,654.0,False,,0.0,4066241.0
0602252,Antioch,CA,Metro City,911040,False,False,True,False,False,0.01776688063494225,-0.0018498653586076497,1.0,693.0,319.0,False,,0.0,911040.0
0602364,Apple Valley,CA,Metro City,700456,False,False,True,False,False,-0.001811187230700173,-0.004432832289547273,0.41986496844635196,61.0,102.0,False,,0.0,700456.0
0603526,Bakersfield,CA,Principal City,4054795,False,False,True,False,False,0.01744937591095641,0.007307358299602162,0.4096670233276871,1848.0,1853.0,False,,0.0,4054795.0
0603666,Baldwin Park,CA,Metro City,850026,False,False,True,False,False,-0.0013443920464384362,0.004935231813594232,-1.0,146.0,130.0,False,,0.0,850026.0
0604982,Bellflower,CA,Metro City,943279,False,False,True,False,False,-0.0015404789754883685,-0.0015924284816236645,0.016581883393128966,184.0,111.0,False,,0.0,943279.0
0606000,Berkeley,CA,Principal City,2593026,False,True,True,False,False,0.0177311673946019,-0.0027224152326438267,1.0,1033.0,307.0,False,,0.0,2593026.0
0608786,Buena Park,CA,Metro City,751385,False,False,True,False,False,0.0024213162549509004,0.004453049957130473,-0.2955521482997075,-84.0,97.0,False,,0.0,751385.0
0608954,Burbank,CA,Principal City,1072998,False,False,True,False,False,0.010527086388960383,0.0014326247311680085,0.7604248603033769,-58.0,90.0,False,,0.0,1072998.0
0610046,Camarillo,CA,Principal City,345293,False,False,True,False,False,0.012354795957281173,0.006283348302546621,0.32575387174252124,246.0,485.0,False,,0.0,345293.0
0611194,Carlsbad,CA,Principal City,562903,False,False,True,False,False,-0.0023963378239922895,0.008134666672737101,-1.0,-146.0,289.0,False,,0.0,562903.0
0611530,Carson,CA,Principal City,693996,False,False,True,False,False,0.01728559454805567,0.002069702280946606,0.7861358263599107,465.0,2.0,False,,0.0,693996.0
0612048,Cathedral,CA,Metro City,511608,False,False,True,False,False,-0.008798693581982597,0.025399517867073174,-1.0,-515.0,90.0,False,,0.0,511608.0
0613014,Chico,CA,Principal City,992809,False,False,True,False,False,0.029550547507505742,0.009079331958215642,0.5299321621610402,1174.0,231.0,False,,0.0,992809.0
0613210,Chino,CA,Principal City,585259,False,False,True,False,False,0.03604576730409259,0.015444548371959188,0.40009890523384495,84.0,601.0,False,,0.0,585259.0
0613214,Chino Hills,CA,Metro City,400713,False,False,True,False,False,-0.005172756886638319,0.018310506088222267,-1.0,-334.0,37.0,False,,0.0,400713.0
0613392,Chula Vista,CA,Metro City,2346364,False,False,True,False,False,0.007879543795450195,0.004950621340460204,0.22828408083324028,-262.0,1223.0,False,,0.0,2346364.0
0613588,Citrus Heights,CA,Metro City,633964,False,False,True,False,False,-0.0020194140807526795,0.0029493473468378273,-1.0,-31.0,6.0,False,,0.0,633964.0
0614218,Clovis,CA,Metro City,710759,False,False,True,False,False,0.02474790842178387,0.016455666492046772,0.20125054554316535,1254.0,664.0,False,,0.0,710759.0
0615044,Compton,CA,Metro City,1340424,False,False,True,False,False,0.003625506929216149,-0.005172912225203441,1.0,-115.0,97.0,False,,0.0,1340424.0
0616000,Concord,CA,Metro City,987662,False,False,True,False,False,-0.0016395993004595377,0.0013611627760095057,-1.0,755.0,89.0,False,,0.0,987662.0
06013,Contra Costa Co.,CA,Urban County,4727157,False,False,True,False,False,0.006649007336013035,0.0061867192796971615,0.036015729390033877,246.0,2155.0,False,,0.0,4727157.0
0616350,Corona,CA,Principal City,1085264,False,False,True,False,False,0.0001496764299120379,0.010793809292658496,-0.9726455658267391,930.0,282.0,False,,0.0,1085264.0
0616532,Costa Mesa,CA,Principal City,907261,False,False,True,False,False,0.005980629982703656,0.000753054906326156,0.776332002837556,743.0,6.0,False,,0.0,907261.0
0617610,Cupertino,CA,Principal City,354559,False,False,True,False,False,-0.000980949898540584,0.005580153280221101,-1.0,-183.0,94.0,False,,0.0,354559.0
0617918,Daly,CA,Metro City,929286,False,True,True,False,False,0.017248923586125953,0.0026222373182585024,0.7360760822303118,508.0,4.0,False,,0.0,929286.0
0618100,Davis,CA,Metro City,730016,False,False,True,False,False,0.012381129653127987,0.0028330834761283175,0.6275741042853653,-321.0,111.0,False,,0.0,730016.0
0618394,Delano,CA,Metro City,513901,True,False,True,False,False,0.0020525885607955985,0.023415560639411304,-0.8388113290321918,259.0,129.0,False,,0.0,513901.0
0619766,Downey,CA,Metro City,1020836,False,False,True,False,False,0.008047250894257285,0.000598034463324737,0.8616507290183885,49.0,140.0,False,,0.0,1020836.0
0621712,El Cajon,CA,Metro City,1279875,False,False,True,False,False,0.006118983698505609,0.001081795484870085,0.6995337706320431,-79.0,119.0,False,,0.0,1279875.0
0621782,El Centro,CA,Principal City,502738,True,False,True,False,False,0.011786577122059105,-0.008077188272534785,1.0,121.0,70.0,False,,0.0,502738.0
0622230,El Monte,CA,Metro City,1491385,False,False,True,False,False,-0.005767061078270297,-0.00489167621681863,-0.08212838324245081,-242.0,103.0,False,,0.0,1491385.0
0622020,Elk Grove,CA,Metro City,1026617,False,False,True,False,False,0.008525484255240245,0.013313300694548724,-0.21923456136943845,924.0,1217.0,False,,0.0,1026617.0
0622678,Encinitas,CA,Metro City,287051,False,True,True,False,False,-0.0012458068806644462,0.009871233136562019,-1.0,21.0,400.0,False,,0.0,287051.0
0622804,Escondido,CA,Metro City,1341561,False,False,True,False,False,0.012413458404625821,0.008340889079761604,0.19622728818276894,-423.0,395.0,False,,0.0,1341561.0
0623182,Fairfield,CA,Principal City,847959,False,False,True,False,False,0.01030856306812633,0.009937166841039291,0.018344422688307306,783.0,286.0,False,,0.0,847959.0
0624680,Fontana,CA,Metro City,1942933,False,False,True,False,False,0.010797788715577461,0.01627312027836969,-0.20225887368674883,1257.0,1358.0,False,,0.0,1942933.0
0625380,Fountain Valley,CA,Principal City,301182,False,False,True,False,False,0.002927708618009728,-0.0030953871353041063,1.0,-23.0,31.0,False,,0.0,301182.0
0626000,Fremont,CA,Metro City,1579819,False,False,True,False,False,0.006012892643988854,0.011829483625242831,-0.32599867268153104,1034.0,131.0,False,,0.0,1579819.0
0627000,Fresno,CA,Principal City,7098936,False,False,True,False,False,0.01122739405296258,0.005372058833022164,0.3527426632768237,1085.0,1124.0,False,,0.0,7098936.0
06019,Fresno County,CA,Urban County,3172269,False,False,True,False,False,-0.0036226944950156215,0.006772462863643414,-1.0,489.0,2439.0,False,,0.0,3172269.0
0628000,Fullerton,CA,Metro City,1397459,False,False,True,False,False,0.009077261736942788,0.0061682118882271375,0.19081400291250225,637.0,87.0,False,,0.0,1397459.0
0629000,Garden Grove,CA,Metro City,1872282,False,False,True,False,False,0.007624235480725661,0.004072857914016126,0.30361196981687705,559.0,108.0,False,,0.0,1872282.0
0628168,Gardena,CA,Principal City,604162,False,False,True,False,False,0.00351713994042524,-0.0028463898371744456,1.0,-207.0,25.0,False,,0.0,604162.0
0629504,Gilroy,CA,Metro City,380083,False,False,True,False,False,0.016836718414591223,0.015534760055850638,0.04021930477872342,322.0,153.0,False,,0.0,380083.0
0630000,Glendale,CA,Principal City,1738811,False,False,True,False,False,-0.003004243357216496,0.010260018181304398,-1.0,-668.0,271.0,False,,0.0,1738811.0
0630014,Glendora City,CA,Metro City,296115,False,False,True,False,False,-0.004684340396256981,0.005649752783551287,-1.0,48.0,61.0,False,,0.0,296115.0
0630378,Goleta,CA,Metro City,320925,False,False,True,False,False,0.019188169340349726,0.013812986099051905,0.16287863772430636,212.0,13.0,False,,0.0,320925.0
0631960,Hanford,CA,Principal City,523508,False,False,True,False,False,0.006945112039690615,0.010290986118208778,-0.19412015688624581,521.0,422.0,False,,0.0,523508.0
0632548,Hawthorne,CA,Metro City,1149498,False,False,True,False,False,0.007319572772060301,-0.0034980092685902298,1.0,278.0,12.0,False,,0.0,1149498.0
0633000,Hayward,CA,Principal City,1542637,False,False,True,False,False,0.008605505412305092,0.006872448030267986,0.11196941433291974,61.0,174.0,False,,0.0,1542637.0
0633182,Hemet,CA,Metro City,894066,False,False,True,False,False,0.016975073452844658,-0.01522181360496333,1.0,437.0,410.0,False,,0.0,894066.0
0633434,Hesperia,CA,Metro City,946179,False,False,True,False,False,0.015816490491758817,-0.005372856470490905,1.0,-70.0,320.0,False,,0.0,946179.0
0636000,Huntington Beach,CA,Metro City,1077252,False,False,True,False,False,0.0027579556453365406,0.00838411183592358,-0.5049472371307829,812.0,423.0,False,,0.0,1077252.0
0636056,Huntington Park,CA,Metro City,544838,False,False,True,False,False,0.00166080766621568,-0.003456501513846133,1.0,-37.0,1.0,False,,0.0,544838.0
0636448,Indio,CA,Metro City,748597,False,True,True,False,False,-0.009497608295899518,0.0460408838976929,-1.0,364.0,251.0,False,,0.0,748597.0
0636546,Inglewood,CA,Metro City,1244649,False,False,True,False,False,0.01040384167204067,-0.002400424282793523,1.0,1328.0,363.0,False,,0.0,1244649.0
0636770,Irvine,CA,Principal City,2410854,False,False,True,False,False,0.026316329049967724,0.03722416090961733,-0.17166741815474726,-162.0,3730.0,False,,0.0,2410854.0
0637692,Jurupa Valley,CA,Metro City,1026523,False,False,True,False,False,0.023656947406779816,-0.0025929805753082125,1.0,833.0,299.0,False,,0.0,1026523.0
06029,Kern County,CA,Urban County,4446861,False,False,True,False,False,0.006055782765076234,0.006405614895839573,-0.028073265959609,2259.0,3244.0,False,,0.0,4446861.0
0639290,La Habra,CA,Metro City,556264,False,False,True,False,False,0.022126402550592505,-0.005236052459054452,1.0,125.0,70.0,False,,0.0,556264.0
0640004,La Mesa,CA,Metro City,456031,False,False,True,False,False,0.01055832082612218,-0.002964880728094532,1.0,-208.0,184.0,False,,0.0,456031.0
0639248,Laguna Niguel,CA,Metro City,350812,False,False,True,False,False,0.0019210899686172844,0.00952130542923424,-0.6642154196178194,116.0,12.0,False,,0.0,350812.0
0639496,Lake Forest,CA,Metro City,518662,False,False,True,False,False,0.006949390725482951,0.020501599932027048,-0.4936874364800567,82.0,27.0,False,,0.0,518662.0
0639892,Lakewood,CA,Metro City,460105,False,False,True,False,False,0.0012703198080601386,-0.0062416663545672435,1.0,158.0,66.0,False,,0.0,460105.0
0640130,Lancaster,CA,Metro City,1506698,False,False,True,False,False,0.011138330230043625,-0.002787513039090528,1.0,228.0,897.0,False,,0.0,1506698.0
0641474,Lincoln,CA,Metro City,259685,False,False,True,False,False,0.0258123934711203,0.006419284332581432,0.6016785491790817,677.0,601.0,False,,0.0,259685.0
0641992,Livermore,CA,Metro City,396908,False,False,True,False,False,-0.00582733618015252,0.010039040922910525,-1.0,62.0,74.0,False,,0.0,396908.0
0642202,Lodi,CA,Principal City,655037,False,False,True,False,False,0.003445801416596117,0.006916439238104255,-0.334931211999389,290.0,262.0,False,,0.0,655037.0
0642524,Lompoc,CA,Metro City,480984,False,False,True,False,False,0.018236183258613536,-0.007465995518151525,1.0,370.0,45.0,False,,0.0,480984.0
0643000,Long Beach,CA,Principal City,4923908,False,False,True,False,False,0.006297652186530334,0.0014459592575526425,0.6265413707818399,8.0,477.0,False,,0.0,4923908.0
0644000,Los Angeles,CA,Principal City,48007436,False,False,True,False,False,0.008069588589044274,0.009048042751962138,-0.057160604959046644,17298.0,10488.0,False,,0.0,48007436.0
06037,Los Angeles County,CA,Urban County,19508115,False,False,True,False,False,0.0034748055605062778,0.002005421808261909,0.26812459654838156,3001.0,19809.0,False,,0.0,19508115.0
0644574,Lynwood,CA,Metro City,946233,False,False,True,False,False,-0.0006761590181495469,-0.0041024185275014835,0.7170040616940841,68.0,101.0,False,,0.0,946233.0
0645022,Madera,CA,Principal City,989791,False,False,True,False,False,-0.006839403408658629,0.0167149175999195,-1.0,19.0,138.0,False,,0.0,989791.0
06041,Marin County,CA,Urban County,1512738,False,False,True,False,False,-0.0017178938858076753,0.0025215271006784334,-1.0,256.0,158.0,False,,0.0,1512738.0
0646842,Menifee,CA,Metro City,630907,False,False,True,False,False,0.04372996193015721,0.01128867215179885,0.5896418607927204,1309.0,983.0,True,,0.0,630907.0
0646898,Merced,CA,Principal City,1089413,False,False,True,False,False,0.020604590688079405,-0.003505421624432792,1.0,550.0,309.0,False,,0.0,1089413.0
0647766,Milpitas,CA,Principal City,555374,False,False,True,False,False,0.011130255643367448,0.036206972271351834,-0.5297462004568904,277.0,77.0,False,,0.0,555374.0
0648256,Mission Viejo,CA,Metro City,389068,False,False,True,False,False,-0.004840670965156724,0.003771627798771604,-1.0,-75.0,37.0,False,,0.0,389068.0
0648354,Modesto,CA,Principal City,1898921,False,False,True,False,False,0.001407869997920752,-0.0006660339511486146,1.0,227.0,173.0,False,,0.0,1898921.0
0648816,Montebello,CA,Metro City,628319,False,False,True,False,False,0.004645625745531845,-0.013178108102892883,1.0,39.0,108.0,False,,0.0,628319.0
0648872,Monterey,CA,Metro City,248442,False,False,True,False,False,0.009100072777012524,-0.009591858067269032,1.0,376.0,13.0,False,,0.0,248442.0
06053,Monterey County,CA,Urban County,1361629,False,False,True,False,False,0.008288381682438617,0.0028778567029799085,0.4845432089757338,468.0,677.0,False,,0.0,1361629.0
0648914,Monterey Park,CA,Principal City,563008,False,False,True,False,False,0.007540910848098603,0.00867418441294987,-0.06989003435419776,53.0,158.0,False,,0.0,563008.0
0649270,Moreno Valley,CA,Metro City,1954015,False,False,True,False,False,0.012066261051201455,0.0012407032152095265,0.8135257312832394,727.0,544.0,False,,0.0,1954015.0
0649670,Mountain View,CA,Principal City,617916,False,True,True,False,False,0.016834971866042103,0.012749675141858985,0.13808840521545077,688.0,214.0,False,,0.0,617916.0
0650258,Napa City,CA,Principal City,591772,False,False,True,False,False,0.011087174376427367,0.0019045111939186565,0.7068107623747037,47.0,116.0,False,,0.0,591772.0
0650398,National,CA,Metro City,700241,False,False,True,False,False,0.019211279488462463,0.008244469066461368,0.3994358558486412,631.0,4.0,False,,0.0,700241.0
0651182,Newport Beach,CA,Principal City,402015,False,True,True,False,False,0.0026726180831402324,0.002385432769398843,0.05677786208836277,-58.0,166.0,False,,0.0,402015.0
0652526,Norwalk,CA,Metro City,940871,False,False,True,False,False,-0.002201669376629689,-0.002036691244709954,-0.03892498696054552,358.0,1.0,False,,0.0,940871.0
0653000,Oakland,CA,Principal City,7412561,False,False,True,False,False,0.020400352833222613,0.0024928570925144555,0.7822186490578651,3866.0,402.0,False,,0.0,7412561.0
0653322,Oceanside,CA,Metro City,1236259,False,False,True,False,False,0.0015746456358054495,0.005863574222408463,-0.576606858678265,253.0,317.0,False,,0.0,1236259.0
0653896,Ontario,CA,Principal City,1839944,False,False,True,False,False,0.011228725729901079,0.015153090741638175,-0.1487526462012465,1015.0,639.0,False,,0.0,1839944.0
0653980,Orange,CA,Principal City,1010888,False,False,True,False,False,0.010041681738450103,0.0005067698953078459,0.9039157759066662,405.0,232.0,False,,0.0,1010888.0
06059,Orange County,CA,Urban County,3467220,False,False,True,False,False,0.006725107326521984,0.00681243477765503,-0.006450761184048383,1323.0,6972.0,False,,0.0,3467220.0
